#Turn	Emit_x
408	4.179419e-06
409	4.316193e-06
410	3.852777e-06
411	4.283231e-06
412	4.307793e-06
413	3.899766e-06
414	4.367188e-06
415	4.276687e-06
416	3.928960e-06
417	4.418629e-06
418	4.217475e-06
419	3.934512e-06
420	4.431251e-06
421	4.132390e-06
422	3.919147e-06
423	4.407936e-06
424	4.032759e-06
425	3.894887e-06
426	4.360723e-06
427	3.937225e-06
428	3.880088e-06
429	4.307260e-06
430	3.866535e-06
431	3.893164e-06
432	4.264539e-06
433	3.836284e-06
434	3.945013e-06
435	4.242149e-06
436	3.850297e-06
437	4.033220e-06
438	4.237953e-06
439	3.897743e-06
440	4.140897e-06
441	4.238573e-06
442	3.956132e-06
443	4.241581e-06
444	4.225350e-06
445	4.000028e-06
446	4.309039e-06
447	4.183844e-06
448	4.012305e-06
449	4.328148e-06
450	4.112622e-06
451	3.992665e-06
452	4.301630e-06
453	4.026491e-06
454	3.958581e-06
455	4.248790e-06
456	3.951491e-06
457	3.937281e-06
458	4.196276e-06
459	3.913201e-06
460	3.952140e-06
461	4.165143e-06
462	3.923865e-06
463	4.010180e-06
464	4.160763e-06
465	3.975070e-06
466	4.097222e-06
467	4.170925e-06
468	4.040435e-06
469	4.183597e-06
470	4.173489e-06
471	4.087891e-06
472	4.238106e-06
473	4.149931e-06
474	4.095794e-06
475	4.243349e-06
476	4.097509e-06
477	4.064300e-06
478	4.204278e-06
479	4.032877e-06
480	4.015357e-06
481	4.145071e-06
482	3.984330e-06
483	3.980793e-06
484	4.095957e-06
485	3.976498e-06
486	3.984855e-06
487	4.077270e-06
488	4.015942e-06
489	4.030812e-06
490	4.089520e-06
491	4.085915e-06
492	4.098911e-06
493	4.114816e-06
494	4.153724e-06
495	4.156749e-06
496	4.128669e-06
497	4.187193e-06
498	4.176478e-06
499	4.115484e-06
500	4.171444e-06
501	4.149485e-06
502	4.078822e-06
503	4.116591e-06
504	4.090511e-06
505	4.040261e-06
506	4.051908e-06
507	4.029126e-06
508	4.027256e-06
509	4.009748e-06
510	3.993705e-06
511	4.056956e-06
512	4.008318e-06
513	3.996974e-06
514	4.125197e-06
515	4.042670e-06
516	4.030837e-06
517	4.206917e-06
518	4.088272e-06
519	4.072667e-06
